#{"t_start": 1785871051.1098237, "env_id": "None"}
r,l,t
50.991489,7,69.543649
50.209957,5,69.711209
50.925712,6,69.859455
50.95935,6,69.996007
50.496046,5,70.19726
51.672038,6,70.314352
50.325977,5,70.591141
51.301773,6,70.760033
50.059891,5,71.051997
52.843788,6,71.195603
52.587537,6,71.409336
50.948139,6,71.53983
51.43657,7,71.832496
51.557402,7,72.06567
51.737676,7,72.298581
49.928553,5,72.442854
50.374341,5,72.675976
49.892842,5,72.935595
-14.186759,5,73.040858
51.536447,6,73.186159
49.961974,5,73.370064
51.703926,6,73.496344
50.538977,5,73.615313
50.935897,6,73.726691
51.168662,6,73.846945
49.898466,5,74.012067
51.728565,7,74.158691
50.076186,5,74.388184
51.042067,7,74.621714
50.758681,5,74.793547
51.3665,6,74.911767
51.383748,6,75.039316
52.678806,6,75.236887
50.127746,5,75.461149
51.079783,6,75.582751
51.228588,6,75.708364
50.517561,5,75.85779
50.802918,7,76.090334
51.562391,6,76.303752
49.821256,5,76.450039
52.467682,6,76.655512
51.305193,6,76.793871
50.305344,5,77.022332
52.218142,6,77.233542
50.56036,5,77.455569
51.718017,7,77.716043
51.239935,7,77.852876
50.775827,7,78.08782
51.017235,6,78.214912
50.983077,7,78.465845
50.932711,6,78.579184
50.979364,6,78.706903
51.644226,6,78.91702
50.028876,5,79.096488
51.083059,7,79.236904
49.952609,5,79.346081
50.466537,5,79.574506
50.191111,5,79.741387
51.002182,7,79.986156
49.937122,5,80.241412
51.743396,6,80.35548
51.184245,6,80.489034
50.12426,5,80.574201
51.084807,7,80.817112
50.9058,6,80.945189
50.937849,7,81.078761
50.42015,5,81.190542
50.879902,6,81.308859
50.94875,7,81.461668
49.681337,5,81.55134
50.098048,5,81.655721
51.758681,7,81.908731
49.835882,5,82.021631
52.086213,6,82.230188
51.174022,7,82.371485
50.225702,5,82.480173
52.802188,6,82.685283
51.217481,6,82.824678
51.659695,6,82.967597
50.250589,5,83.058779
49.878515,5,83.276152
51.42369,6,83.397887
50.903191,6,83.522129
50.937296,6,83.636341
49.791976,5,83.867151
49.780311,5,84.102747
50.151597,5,84.203989
50.305853,5,84.391086
50.625004,7,84.649091
50.042978,5,84.878695
51.118095,6,85.016853
50.261582,6,85.140606
50.940049,6,85.264848
50.997616,6,85.393956
52.16125,6,85.601542
50.160158,5,85.83402
51.196992,6,85.969331
50.158432,5,86.073941
50.154888,5,86.165609
50.916611,6,86.30036
50.363448,5,86.518147
50.045722,5,86.723307
50.898834,6,86.847013
50.828024,7,87.093485
51.164181,7,87.236496
49.932445,5,87.476494
50.668301,7,87.606738
49.983541,5,87.770752
49.958478,5,87.940867
50.109846,5,88.031518
51.657682,7,88.165682
51.946727,6,88.368675
50.02378,5,88.467722
52.837532,6,88.666152
51.038929,7,88.809475
51.084164,7,89.044917
52.54687,6,89.176292
49.797982,5,89.282459
49.829781,5,89.473013
50.824768,7,89.610742
51.146878,7,89.751075
51.852846,6,89.957792
50.810517,5,90.112361
52.509129,6,90.272744
50.935035,6,90.398005
50.578758,7,90.665973
50.058632,5,90.745563
50.906878,6,90.870649
50.165105,5,91.039524
51.383911,7,91.270803
50.914717,6,91.382434
49.975136,5,91.484178
50.939162,6,91.607448
51.262725,6,91.731408
50.944329,6,91.844136
50.930035,6,91.954785
50.56113,5,92.189343
50.18669,5,92.414726
49.843132,5,92.641119
50.917024,6,92.757203
50.812821,7,92.903398
49.98492,5,93.011227
51.244721,7,93.249613
51.722354,6,93.455886
51.556704,7,93.594079
50.766106,7,93.845646
50.209781,7,93.995025
50.246878,5,94.231716
49.971107,5,94.340016
50.106382,5,94.448669
50.917373,6,94.568032
50.802493,7,94.832921
50.930712,7,95.067331
50.200519,5,95.162966
51.118256,6,95.249608
50.234384,5,95.34123
50.54196,5,95.56733
51.169038,7,95.708572
51.495182,7,95.854125
52.827247,6,95.976281
50.922957,6,96.088677
50.797999,7,96.331038
50.497553,5,96.555948
51.160162,6,96.732679
51.058018,6,96.879111
49.909129,5,97.145171
50.513998,5,97.405905
50.157811,5,97.486518
50.109594,5,97.716527
50.041229,5,97.862992
51.335849,7,98.099872
50.956669,6,98.221207
50.16221,5,98.318031
50.912463,6,98.427889
51.215386,6,98.558594
51.38912,7,98.697687
52.330095,6,98.924697
50.35987,5,99.093853
50.218705,5,99.239712
49.933283,5,99.333827
49.820473,5,99.507283
51.337124,7,99.741945
50.908091,6,99.858474
49.808666,5,100.086339
50.757502,7,100.316842
50.951845,6,100.439647
51.179529,6,100.5698
49.935275,5,100.724654
51.576683,7,100.944046
52.426061,6,101.154489
51.19454,6,101.291214
51.313541,6,101.426338
50.920483,6,101.538949
50.08916,5,101.646127
50.044132,5,101.736254
51.358453,6,101.94886
50.479231,7,102.176662
49.983832,5,102.26608
51.166419,6,102.398282
50.929842,6,102.513245
51.649461,7,102.693708
50.933024,6,102.810052
50.934249,6,102.931724
50.959388,5,103.204964
50.150014,5,103.366093
49.821021,5,103.477285
50.167779,5,103.63733
50.416383,5,103.722011
49.881863,5,103.972615
50.044278,5,104.244857
50.975765,7,104.377047
51.875394,6,104.512192
50.025291,5,104.615007
50.185622,5,104.872113
51.388287,7,105.113809
50.956629,7,105.254535
50.827775,7,105.399702
50.886377,6,105.509862
50.949084,7,105.644774
50.923746,6,105.754922
52.483823,6,105.886379
50.901452,6,106.006259
51.148674,7,106.2574
52.019293,6,106.453712
49.791307,5,106.560195
51.798334,6,106.692954
50.319476,6,106.858237
49.912921,5,106.961067
50.062832,5,107.050268
51.199651,7,107.286148
52.05916,6,107.494911
53.046121,6,107.688422
51.401237,6,107.856976
51.74035,6,107.99315
50.169067,5,108.07625
51.577061,6,108.209999
51.074656,6,108.336151
50.937035,6,108.456496
52.512549,6,108.689915
51.402294,7,108.914815
50.711265,7,109.044669
49.981512,5,109.189011
51.798376,6,109.325185
50.983183,7,109.468703
50.984209,6,109.589908
52.457487,6,109.70871
51.043113,7,109.842109
51.432332,6,109.97428
50.205498,5,110.056385
51.870747,6,110.258719
50.072237,5,110.480578
51.117779,5,110.711478
51.784097,6,110.836405
50.672725,5,111.061551
49.94395,5,111.218215
51.676306,6,111.326712
52.964298,6,111.462374
51.738484,6,111.662716
50.790365,7,111.892028
49.85629,5,112.034469
49.992935,5,112.128622
51.633828,7,112.363802
50.2075,5,112.477945
50.857993,6,112.586221
50.901459,7,112.720379
49.891287,5,112.957713
51.516525,7,113.17679
52.391538,6,113.380715
50.40037,5,113.553028
50.701348,7,113.683224
51.58782,6,113.816148
50.467057,7,113.952051
50.109476,5,114.094609
50.169397,5,114.255289
50.813859,7,114.393856
50.847331,7,114.62186
52.567984,6,114.817532
49.976058,5,114.918707
49.923523,5,115.013813
52.547359,6,115.136231
49.826404,5,115.248462
50.465857,7,115.486228
49.963805,5,115.730544
51.626407,6,115.933136
49.998795,5,116.030568
51.399804,7,116.163292
49.908529,5,116.306343
50.011421,5,116.531661
49.988254,5,116.725572
50.923595,6,116.835205
50.581494,5,117.052676
50.907262,6,117.165077
50.933365,6,117.2744
51.520003,6,117.385706
52.048658,6,117.585058
50.968646,6,117.70521
50.387152,5,117.807366
51.129045,7,117.949646
50.665896,7,118.202423
50.925186,6,118.312396
49.848032,5,118.414032
51.611475,6,118.533422
51.289789,6,118.648996
51.676554,7,118.825259
50.076733,5,119.059097
49.946212,5,119.298637
49.869086,5,119.5696
50.270779,5,119.65897
51.94134,6,119.864772
49.883563,5,119.969661
51.438145,7,120.102463
51.806388,6,120.239157
50.185751,5,120.327441
50.627066,5,120.601578
50.870556,7,120.730944
50.97839,6,120.851166
50.984906,6,120.936799
50.530804,5,121.08032
50.908029,5,121.235668
52.596474,6,121.439246
50.787114,7,121.574455
49.798923,5,121.682631
52.19096,6,121.807822
51.888867,6,122.010486
51.702712,7,122.190838
50.792656,5,122.351068
50.078677,5,122.438364
49.990644,5,122.525463
50.240159,5,122.634131
51.403309,6,122.749866
-14.049566,6,123.083505
50.895425,6,123.205705
49.829745,5,123.436708
51.020505,7,123.577426
49.138539,5,123.730754
49.900063,5,123.873775
51.577204,6,124.008569
49.928196,5,124.25316
50.293533,5,124.356893
51.596292,7,124.535214
