#{"t_start": 1785745432.8403468, "env_id": "None"}
r,l,t
-15.259712,3,46.209966
-14.341712,3,46.29121
-15.463712,3,46.407997
-9.588028,5,46.576535
49.764749,3,47.035887
-12.887587,4,47.123154
-12.936726,4,47.220587
-11.862004,4,47.336963
52.83944,4,47.548041
-15.108791,3,47.867344
-15.388251,3,48.017291
-14.496791,3,48.353903
-13.242726,4,48.473815
-15.270902,3,48.544553
-15.082251,3,48.668789
-14.454902,3,48.745552
-15.159791,3,48.851362
-15.286251,3,48.981883
-15.743172,3,49.044275
-13.448587,4,49.115546
-15.284172,3,49.191745
-15.182172,3,49.262649
-12.882004,4,49.56373
52.83944,4,49.838996
-15.259712,3,49.971402
-15.117902,3,50.051493
-14.366172,3,50.126693
-15.157712,3,50.218178
-15.386172,3,50.309232
56.911733,5,50.448632
-13.244587,4,50.54081
-15.133251,3,50.790738
-13.446726,4,50.894602
49.585209,3,51.180371
-12.326587,4,51.24898
-14.443712,3,51.320626
-14.341712,3,51.687219
-15.235251,3,51.78265
-12.882004,4,51.888305
-14.658902,3,51.958853
-13.740902,3,52.052875
52.482439,4,52.28019
-14.723172,3,52.367759
-15.743172,3,52.42892
-15.080172,3,52.487421
-14.443712,3,52.614297
-15.423902,3,52.697857
-15.006791,3,52.944142
-14.443712,3,53.031466
-15.388251,3,53.127675
-15.474902,3,53.210032
49.585209,3,53.75148
-14.290712,3,54.051213
53.090717,4,54.37736
-15.117902,3,54.461109
-12.989587,4,54.539053
-14.955791,3,54.850168
-15.423902,3,54.91555
-15.259712,3,55.030157
-15.372903,3,55.111736
-15.031251,3,55.189851
-15.057791,3,55.253577
-15.576902,3,55.327249
-13.244587,4,55.418217
-11.599561,4,55.576595
-15.219902,3,55.651804
-12.41556,4,56.028044
-14.572251,3,56.176857
-15.031251,3,56.316885
-14.454902,3,56.382797
50.146209,3,56.863031
-14.341712,3,56.946282
-14.190791,3,57.102116
-14.519172,3,57.185282
-14.215251,3,57.324273
-15.210791,3,57.601348
-14.190791,3,58.067439
-15.335172,3,58.148046
-14.366172,3,58.244517
-12.780004,4,58.330587
52.686439,4,58.590857
-15.641172,3,58.660769
-14.519172,3,58.734018
-15.029172,3,58.804685
49.789209,3,58.958853
-15.388251,3,59.030732
-14.290712,3,59.103223
-15.131172,3,59.163294
-11.862004,4,59.526589
-15.361712,3,59.614435
-15.106712,3,59.685412
-15.233172,3,59.763882
-14.139791,3,59.997045
-15.565712,3,60.094502
-14.368251,3,60.317497
-15.437172,3,60.381502
-14.496791,3,60.560338
50.044209,3,60.749029
52.686439,4,60.983353
-15.157712,3,61.051018
-14.139791,3,61.164484
-15.133251,3,61.294984
56.188114,6,61.750279
-9.121468,5,61.979412
-14.290712,3,62.081214
-15.565712,3,62.151623
-14.519172,3,62.217745
-14.368251,3,62.325108
-15.335172,3,62.405684
-12.120726,4,62.488441
-15.133251,3,62.628567
-14.394791,3,63.018768
-13.476791,3,63.185611
-11.913004,4,63.271012
-14.572251,3,63.36902
-14.443712,3,63.477031
-14.519172,3,63.553292
-14.139791,3,63.977209
53.192717,4,64.094088
-15.057791,3,64.449587
49.789209,3,64.627267
-15.004712,3,64.739187
-15.270902,3,64.817983
-15.117902,3,64.889136
-15.029172,3,64.97984
-15.208712,3,65.139185
-12.326587,4,65.211599
-13.346587,4,65.270515
-14.454902,3,65.336102
-15.286251,3,65.469003
-15.335172,3,65.542819
-15.372902,3,65.613159
-14.621172,3,65.703548
-15.184251,3,65.818299
-15.270902,3,65.929665
-15.539172,3,66.017958
-15.490251,3,66.160339
-15.259712,3,66.243491
-14.368251,3,66.340961
49.840209,3,66.925775
-15.066902,3,66.987656
-14.403902,3,67.066746
-12.419283,4,67.208884
-15.678902,3,67.299616
-12.428587,4,67.369804
-14.519172,3,67.461398
-15.259712,3,67.539512
-15.361712,3,67.637191
-15.490251,3,67.993879
-15.029172,3,68.066505
-14.496791,3,68.161837
-15.361712,3,68.282895
-15.080172,3,68.343609
-15.414791,3,68.623917
-9.784468,5,68.693733
-15.463712,3,68.76584
-15.539172,3,68.829574
-15.539172,3,68.901896
-14.723172,3,68.972771
49.713749,3,69.424771
50.044209,3,69.563601
-12.623283,4,69.743102
-14.723172,3,69.807979
-15.006791,3,70.155159
-14.290712,3,70.249152
-15.057791,3,70.332057
-11.705283,4,70.739975
-15.641172,3,70.840044
-15.006791,3,71.135561
-15.490251,3,71.215053
-15.474902,3,71.288357
-14.556902,3,71.370673
-15.678902,3,71.44931
-12.827283,4,71.783415
-15.388251,3,71.858812
-15.082251,3,71.998544
-11.599561,4,72.47936
-15.057791,3,72.789021
-14.292791,3,73.111391
-13.140726,4,73.227347
-14.366172,3,73.30972
-15.106712,3,73.379276
-15.157712,3,73.495499
-13.344726,4,73.61315
-15.565712,3,73.717817
-15.133251,3,73.847314
-14.417172,3,73.911762
-14.139791,3,74.240609
-14.496791,3,74.542016
-13.552251,3,74.654209
-14.292791,3,75.158404
-14.556902,3,75.245893
-15.335172,3,75.311248
-15.361712,3,75.398927
-15.490251,3,75.525524
-15.463712,3,75.591694
-15.490251,3,75.663988
-13.446726,4,75.779428
-12.576004,4,75.873183
-15.080172,3,75.94876
-14.190791,3,76.304377
-14.496791,3,76.617829
-14.647712,3,76.904485
-15.388251,3,77.102923
-14.572251,3,77.233776
-13.239004,4,77.733364
-14.394791,3,78.010668
-14.290712,3,78.151307
-14.366172,3,78.265322
-14.454902,3,78.360739
-15.080172,3,78.428703
-15.184251,3,78.513866
-12.428587,4,78.621763
-14.853791,3,78.94628
-14.443712,3,79.039871
-13.035004,4,79.136315
-15.361712,3,79.237894
-13.242726,4,79.366108
-15.361712,3,79.473854
-13.193587,4,79.543502
-13.346587,4,79.630337
-15.159791,3,79.79763
-15.182172,3,79.868145
-15.372902,3,79.94613
-14.139791,3,80.249642
-15.270902,3,80.349647
-14.621172,3,80.417837
55.636733,5,80.721862
-11.705283,4,80.828158
-15.388251,3,80.950879
-15.321902,3,81.039798
-15.286251,3,81.169692
-13.242726,4,81.248816
-14.417172,3,81.32169
-15.004712,3,81.416972
-12.729004,4,81.656189
-15.312791,3,81.721843
-14.215251,3,81.797014
-14.496791,3,82.077211
-15.423902,3,82.137155
-15.006791,3,82.225621
52.478717,4,82.412046
-15.592251,3,82.620106
-15.463712,3,82.693085
-15.208712,3,82.840527
-14.760902,3,82.93069
-15.321902,3,83.014942
-15.310712,3,83.151229
-15.106712,3,83.289093
-14.190791,3,83.405073
-15.414791,3,83.546484
-14.647712,3,83.646704
-15.219902,3,83.729737
-15.284172,3,83.800304
-15.437172,3,83.869059
-14.980251,3,84.04701
-14.366172,3,84.131213
-14.266251,3,84.258538
49.789209,3,84.549954
51.523209,3,84.734056
-15.592251,3,84.959737
53.55344,4,85.072206
-14.545712,3,85.18461
-15.335172,3,85.255882
-15.080172,3,85.347681
-14.139791,3,85.62312
-15.423902,3,85.690161
50.605209,3,86.059617
-15.388251,3,86.156886
-15.372902,3,86.225088
-15.235251,3,86.300321
-15.437172,3,86.370105
-14.417172,3,86.434286
-14.760902,3,86.508413
-15.565712,3,86.59647
-14.139791,3,86.866765
-14.658902,3,86.938863
54.216439,4,87.257492
-14.853791,3,87.348559
-15.335172,3,87.431026
-9.843028,5,87.601333
-15.080172,3,87.676592
-13.035004,4,88.073024
-15.080172,3,88.142124
-15.208712,3,88.269158
-15.133251,3,88.378232
-14.572251,3,88.485862
