#{"t_start": 1785736643.2448115, "env_id": "None"}
r,l,t
55.629536,5,53.879118
-14.277187,3,53.932827
57.93845,5,53.981432
-8.073299,5,54.028179
-19.040741,9,54.206246
-11.556515,4,54.251361
-5.917644,6,54.334485
-13.494422,3,54.470715
-14.497534,3,54.527931
-14.413826,3,54.580393
43.946978,9,54.700529
50.491293,3,54.859748
56.982048,7,55.027066
-7.539306,6,55.101894
-14.787339,3,55.140005
-15.474918,3,55.28299
-14.122046,3,55.335462
-15.444316,3,55.420295
-13.739704,3,55.459736
56.933361,5,55.580251
-13.097889,4,55.637076
-13.689313,3,55.685236
-14.201854,3,55.730023
-15.742637,8,55.788608
-12.446092,4,55.832971
-13.495565,3,56.12121
-12.921678,4,56.178373
-13.668461,3,56.213912
-14.634632,3,56.250641
-14.256654,3,56.30446
-8.31715,6,56.483827
-15.44229,3,56.521389
56.61868,5,56.598152
-13.790527,3,56.641794
-12.280304,4,56.703626
-15.614238,3,56.746194
-14.618716,3,56.788696
-13.503267,3,56.825409
-13.528742,3,56.90005
-12.907579,4,56.982853
-14.336998,3,57.017906
-14.505699,3,57.19574
-13.484092,3,57.488787
59.069992,6,57.534142
-12.104932,4,57.836433
-5.924197,6,57.948855
-14.323129,3,57.985417
-15.230581,3,58.036222
53.18828,4,58.196657
55.453565,5,58.347692
54.196148,4,58.508061
31.089239,11,58.63667
-12.019951,4,58.693408
57.086103,7,58.736517
-14.652488,3,58.798373
56.979475,7,58.858608
57.753302,7,58.958619
-14.918107,3,59.002688
-14.405584,3,59.039086
-22.771295,9,59.217575
-13.486863,3,59.262428
54.206469,4,59.376316
-14.59224,3,59.554375
51.516097,3,59.806039
53.54489,4,59.956873
-8.459387,5,60.001493
-14.673144,3,60.045563
-8.62085,5,60.12289
-12.569956,4,60.15995
53.189107,4,60.371065
-14.138369,3,60.545675
-11.578326,4,60.843613
-14.670958,3,60.879116
-14.499241,3,61.015699
58.221378,6,61.067286
-14.722064,3,61.111431
-12.68874,8,61.140985
49.852176,3,61.229044
57.94274,5,61.270806
-14.43652,3,61.30674
-7.691938,6,61.332644
-13.680046,3,61.369194
57.243097,5,61.441097
-12.782691,4,61.493804
-14.647377,3,61.538867
54.20355,4,61.689385
-13.722817,3,61.733948
-15.316496,3,61.911637
53.453544,4,62.052569
53.170335,4,62.223039
49.547403,3,62.318615
57.957227,5,62.446822
-13.55594,3,62.489882
-11.439131,4,62.550748
-12.564332,4,62.586806
-12.117542,4,62.642944
-15.747014,3,62.686996
50.850813,3,62.868695
-13.506082,3,62.930778
-11.179476,4,63.076259
-15.191185,3,63.128894
56.486981,6,63.207523
-14.496791,3,63.243393
-11.863288,4,63.325749
53.196439,4,63.402892
-13.48711,3,63.485681
-12.202397,4,63.525498
53.091524,4,63.674222
-9.127938,5,63.712282
-13.411075,4,63.757886
-14.681868,3,63.926036
-8.451696,5,64.022691
-11.3773,4,64.922378
-14.594313,3,65.01773
57.522139,5,65.109139
52.097785,4,65.321627
50.61651,3,65.587096
57.319599,5,65.663268
-13.52293,3,65.708869
-14.500901,3,65.901531
-12.604496,4,66.063833
-14.505345,3,66.121208
-9.450462,6,66.368158
54.862748,7,66.516393
56.313072,7,66.693815
51.648801,8,66.903506
-14.257827,3,66.957376
-13.571572,3,67.038645
-22.455864,9,67.122783
-11.375919,4,67.19398
37.053166,10,67.356226
59.085105,6,67.430268
-11.985949,4,67.57728
53.259143,4,67.719233
-14.496791,3,67.801865
57.323703,5,67.876529
56.022492,5,68.083525
56.936306,5,68.135581
-11.808019,4,68.224346
-16.637566,8,68.309505
-12.058001,4,68.508182
50.767413,3,68.782046
-15.738335,3,68.817534
-10.901299,4,68.902336
51.610082,8,69.027442
54.216049,4,69.19409
-13.491198,3,69.348172
56.778582,5,69.485849
-15.516791,3,69.597939
-12.427614,4,69.638658
-13.725819,3,69.67438
-14.507369,3,69.812868
57.680077,6,69.872998
53.32217,4,69.934307
-13.495196,3,69.989576
54.202388,4,70.049642
-11.235111,4,70.109678
56.281211,5,70.314198
56.935333,5,70.429314
-15.247132,3,70.613821
-15.252748,3,70.65852
54.082759,4,70.872314
-15.143177,3,70.925692
-14.228335,3,71.003476
-14.688624,3,71.047254
-14.499038,3,71.21835
-7.097407,5,71.577725
-8.541329,6,71.615879
-14.349154,3,71.661491
-14.459187,3,71.793788
-14.708368,3,71.837966
-14.447994,3,72.017352
-15.421372,3,72.279657
-11.552439,4,72.321741
57.084095,5,72.501913
-8.335321,5,72.683976
-13.742883,3,72.721061
-15.415449,3,72.764266
-8.378434,6,72.981631
-11.997131,4,73.022928
57.476115,6,73.081507
-14.317123,3,73.121815
51.519304,3,73.221444
53.973986,4,73.455926
-13.488295,3,73.491703
-15.381906,3,73.52805
-10.393987,5,73.575767
-14.129269,3,73.712016
58.071633,6,73.760073
52.992686,4,73.845583
-14.394296,3,73.890627
-8.948252,5,73.961974
-14.379873,3,74.238438
-13.609582,3,74.364112
-11.807033,8,74.392047
50.511562,8,74.503991
-11.910605,4,74.696191
-14.684741,3,74.736361
-40.025651,15,74.784985
57.762999,7,74.833763
-12.175674,4,74.874254
53.577549,4,75.075829
50.503209,3,75.357831
53.589892,4,75.552387
-14.943741,3,75.834835
-9.592416,5,75.882334
56.419726,5,76.052471
52.507927,8,76.101381
-13.400699,4,76.139951
45.95389,9,76.217631
31.053895,11,76.309643
57.946861,5,76.382431
-13.756183,3,76.421345
-14.4854,3,76.465885
51.692484,8,76.591804
-12.380279,4,76.634168
-14.718443,3,76.672684
53.222943,4,76.896577
-14.312645,3,76.944016
56.123117,7,76.982288
-14.372391,3,77.02565
-13.482993,3,77.09211
52.958847,4,77.346782
-14.313287,3,77.436751
-13.601334,3,77.477547
-8.251676,7,77.509277
53.233073,4,77.77199
57.060127,6,77.847834
-14.495989,3,77.892407
-5.9435,6,77.932291
57.140276,5,77.990689
-14.589169,8,78.068542
-13.476791,3,78.211279
-14.661239,3,78.246791
55.981133,7,78.318868
-15.312687,3,78.499458
-14.793975,3,78.536299
-15.062709,3,78.591843
-11.57081,4,78.637436
-14.300562,3,78.920398
-12.539567,4,79.011644
-14.536017,3,79.243272
57.774196,7,79.524989
-14.106612,3,79.606168
-12.063308,4,79.677949
-11.484788,4,79.729923
-13.794515,3,79.766833
-14.115066,3,79.951337
-14.243229,3,79.989411
57.630192,6,80.221526
57.165728,6,80.338814
-12.940563,4,80.400178
-7.798614,5,80.604173
-14.752106,3,80.650367
-13.486363,3,80.699724
-14.418605,3,80.877859
-11.359045,4,80.977793
-14.505741,3,81.027876
-14.735918,3,81.064587
53.187681,4,81.212638
51.502863,3,81.413042
-14.232778,3,81.559824
57.337377,5,81.713962
-14.72095,3,81.750132
-15.040303,3,81.792744
-38.745789,12,81.846128
59.024435,6,81.89368
54.129916,4,82.03441
-14.54173,3,82.071182
-14.469889,3,82.14498
55.781695,7,82.274785
-14.549409,3,82.459445
57.752723,7,82.504088
-13.486718,3,82.56933
-14.600888,3,82.622689
53.385679,4,82.793287
49.842664,3,82.988505
-13.532568,3,83.058918
-12.675577,4,83.116272
-14.364441,3,83.154225
-13.496926,3,83.211687
-14.619569,3,83.339723
-14.771003,3,83.377029
-14.505874,3,83.413815
55.524045,6,83.602043
-12.82823,8,83.712856
50.498395,3,83.983769
36.627583,10,84.395791
-14.673752,3,84.443046
56.629897,6,84.653252
-14.215342,3,84.744901
-12.129162,4,84.791195
52.176439,4,84.864358
-14.628337,3,84.904688
-13.485615,3,85.050822
58.058,6,85.164374
-9.008651,5,85.22876
-11.330984,4,85.294754
45.861148,9,85.519243
-7.682771,6,85.709863
-14.54136,3,85.761756
-12.263101,4,85.959501
57.973614,6,86.117665
56.742234,7,86.169052
-9.451701,6,86.251922
-15.353647,3,86.317739
50.05503,3,86.411331
51.469761,3,86.553941
-15.188258,3,86.623195
-13.717996,3,86.670038
53.281732,4,86.740368
-8.800537,5,86.925918
-13.484955,3,87.102547
-13.749845,3,87.140993
-14.507297,3,87.1941
-9.291728,5,87.290964
-11.518176,4,87.357126
52.819788,4,87.515845
51.514676,3,87.785862
59.075718,6,87.836953
54.204563,4,87.973737
53.135024,4,88.044449
-14.536407,3,88.097752
-9.111225,5,88.364064
-14.570639,3,88.588369
