#{"t_start": 1785771729.2566907, "env_id": "None"}
r,l,t
-10.799035,4,111.862962
-7.094658,5,112.433865
-13.568238,3,112.574304
-13.64666,3,112.675982
57.849754,5,112.993639
53.473096,4,113.360329
-15.554011,3,113.78454
51.506365,3,114.288565
-8.556873,5,114.433497
57.840896,5,114.823292
-13.744184,3,114.927483
-13.63943,3,115.025138
-7.881284,5,115.382236
54.16578,4,115.67764
-13.571898,3,115.888498
-11.196212,4,116.161406
-10.987231,4,116.615287
57.920719,5,116.758668
58.920118,6,117.039346
-12.177848,4,117.192249
59.049242,6,117.340938
-11.251308,4,117.477221
-11.281492,4,117.662799
57.484609,7,117.862483
-8.098039,6,118.019761
58.997678,6,118.154959
57.232245,5,118.319186
-11.197576,4,118.597606
-11.126162,4,118.716466
54.063141,4,119.019555
57.86897,5,119.164639
57.655106,5,119.357067
57.709501,5,119.528683
-7.743902,5,119.887549
-7.048729,5,120.031458
54.045091,4,120.250684
57.713635,5,120.559069
57.939748,5,120.904419
57.953802,5,121.032135
58.887833,6,121.249988
-8.395839,7,121.628748
-13.712383,3,121.728957
-8.219193,5,121.930415
-11.087317,4,122.049638
58.70138,6,122.222088
58.925325,6,122.466621
-11.573362,4,122.582931
57.928368,5,122.833225
54.199261,4,123.177454
-13.559969,3,123.548698
-13.61928,3,123.669009
54.0974,4,123.874775
-11.337405,4,124.106532
58.403678,6,124.360806
57.663176,5,124.82746
-8.091088,5,125.247936
59.086424,6,125.430593
58.946495,6,125.640778
-7.134857,5,126.186381
-11.03383,4,126.598734
-7.091059,5,127.286596
-5.914672,6,127.566432
-13.657605,3,127.669072
-11.519322,4,127.778857
57.607636,5,128.080322
-11.104593,4,128.341665
-13.743568,3,128.442786
-14.505272,3,128.654083
-10.927039,4,128.899838
-11.28864,4,129.041848
-11.261735,4,129.182231
57.6876,5,129.495827
-13.743284,3,129.590933
57.328927,5,129.937631
-11.012655,4,130.28041
58.462496,6,130.413195
59.026636,6,130.602487
-8.259604,5,130.937684
-8.404932,5,131.119864
-7.986732,5,131.407682
53.997278,4,131.834057
-13.55495,3,132.235599
-13.66034,3,132.387557
57.951698,5,132.582875
57.933723,5,132.772508
-11.391331,4,132.946107
-7.2658,7,133.282369
-8.146324,6,133.49286
59.078761,6,133.689853
57.991728,6,133.981253
59.07158,6,134.143266
-11.242767,4,134.534033
57.121453,5,134.979339
57.941538,5,135.156862
58.894848,6,135.344337
-13.779943,3,135.44953
-7.205632,5,136.089252
-5.979308,6,136.403934
54.075019,4,136.723493
54.177023,4,137.022719
59.067277,6,137.259628
-11.166399,4,137.409733
57.809557,6,137.747837
-11.310658,4,137.879155
-7.858658,5,138.243465
57.880314,5,138.435095
-7.906013,5,139.009094
57.270963,5,139.344344
-5.935752,6,139.540572
57.760978,5,139.797706
-13.713282,3,139.895293
57.877535,5,140.091032
57.874529,5,140.266218
-13.700957,3,140.36897
-8.137776,5,140.535492
57.916289,5,140.728329
57.860478,5,141.058891
57.492026,5,141.362386
57.946001,5,141.516585
57.940586,5,141.632276
-11.242832,4,141.773192
58.84066,6,141.951246
57.937175,5,142.292988
-13.546096,3,142.701421
54.209037,4,142.976581
54.204827,4,143.243795
-13.777575,3,143.340686
54.190771,4,143.591348
57.931146,5,143.982822
-11.349465,4,144.115163
59.033448,6,144.286555
57.667749,5,144.697737
-6.682023,6,145.282251
-7.410156,5,145.662349
59.075444,6,145.805831
57.905948,5,146.042454
-8.495483,5,146.19193
57.433754,5,146.509357
-8.126173,5,146.667922
58.696215,6,147.020769
-11.482189,4,147.140092
57.803668,5,147.507828
57.604913,7,148.108045
58.943595,6,148.301834
56.764841,7,148.6295
-8.37826,5,148.775955
57.189117,5,149.274246
57.566529,5,149.681839
-7.907995,7,149.909751
57.695563,5,150.227005
57.932265,5,150.383212
-11.021629,4,150.79249
57.857902,5,151.002828
57.94557,5,151.197371
57.554753,5,151.735331
-11.057003,4,152.230989
57.768996,7,152.414025
58.947965,6,152.622766
-11.246379,4,152.787014
57.625648,7,153.720118
-7.906475,6,154.209425
58.881457,6,154.436921
57.529911,7,154.669287
58.039207,6,154.858235
-8.208171,5,155.048494
-7.345549,7,155.306825
57.566627,7,155.784721
-7.258452,7,156.043462
-6.117614,6,156.219729
-8.064729,5,156.4393
-7.231626,7,156.786649
-7.808115,7,157.404082
-8.128597,6,157.623932
58.078127,6,157.948059
59.023716,6,158.131014
57.489637,7,158.311288
-11.300776,4,158.473793
-11.508916,4,158.890198
54.186508,4,159.344829
-7.757407,7,159.506607
-7.956412,7,159.73147
57.240519,5,160.171231
-7.225112,7,160.349731
-8.112126,5,160.477113
-11.807647,8,160.967993
56.304963,7,161.185679
-11.554544,4,161.3005
57.647618,7,161.451594
-7.283814,7,161.733442
57.381178,7,161.949274
-7.560036,6,162.119527
-7.641722,6,162.311049
59.045465,6,162.481322
57.212494,7,162.707307
-8.077305,5,162.901724
56.643036,7,163.129383
-11.834019,8,163.667471
-8.114049,5,163.829689
58.764319,6,163.989789
58.127994,6,164.223861
-11.936367,8,164.531957
-10.121673,7,164.841921
52.563102,8,165.060351
44.679084,9,165.316977
58.472587,6,165.571447
58.449184,6,165.899547
-9.803709,7,166.253436
-27.056237,10,166.466422
31.001174,11,166.715414
-11.995715,8,166.87181
57.394942,7,167.013588
-13.675908,3,167.129708
57.773734,7,167.305597
-12.296798,8,167.86805
58.166458,6,168.256849
57.089705,7,168.409414
57.730986,7,168.594648
-7.555101,5,168.795971
44.721658,9,169.209351
56.99153,7,169.433176
-7.909493,7,169.962816
-19.139801,9,170.176186
30.483245,11,170.614295
-27.045459,10,170.985359
52.749923,8,171.214649
-19.405778,9,171.507707
31.053611,11,171.735023
37.179214,10,172.145276
52.61986,8,172.372316
-12.095683,8,172.598262
56.559866,7,172.920338
-19.152548,9,173.237632
51.445672,8,173.747919
-14.025877,8,174.135539
-27.280963,10,174.545666
45.939636,9,175.019578
51.445467,8,175.240724
52.355971,8,175.533759
55.214131,7,176.099566
-7.41159,6,176.558645
28.151324,12,176.985997
-13.202613,8,177.393772
28.18455,12,177.782777
-33.976812,11,178.037976
-12.623388,8,178.718682
51.502593,8,179.160626
-13.735709,8,179.4077
-19.983455,9,179.615424
37.594906,10,180.136611
57.569731,7,180.332265
-19.204762,9,180.539851
53.116306,8,180.721028
-27.203914,10,180.933603
36.760504,10,181.388793
-11.986087,8,181.710608
-12.244682,8,181.872038
56.755826,7,182.086852
52.591392,8,182.308017
53.016644,8,182.942092
53.11394,8,183.565982
52.489664,8,183.762606
52.057727,8,184.004708
-19.100451,9,184.341561
-14.378442,8,184.715781
57.287348,7,184.935073
55.821029,7,185.312308
53.133243,8,185.495466
51.534371,8,185.924269
50.846556,8,186.47103
-19.318441,9,187.236641
52.692679,8,187.530424
52.126755,8,187.866757
57.688684,7,188.018682
52.979656,8,188.255179
36.952157,10,188.542598
53.005562,8,188.755385
30.986392,11,189.021941
-28.597165,10,189.268363
52.434539,8,189.515697
44.846894,9,189.761051
37.795616,10,189.975756
-39.489619,16,190.270145
52.977101,8,190.496226
-34.557319,11,190.711113
-6.104776,6,191.423453
-13.942211,8,191.657134
30.993321,11,191.906479
52.842357,8,192.112544
-39.174176,14,192.38083
57.235766,7,192.662324
-36.865699,12,193.409059
-38.436763,17,193.658185
-36.913382,12,194.253845
28.158705,12,194.703146
-13.929416,8,195.107187
-37.001643,12,195.42121
30.853499,11,195.813762
37.868968,10,196.121644
-39.162743,14,196.39113
-38.442309,13,196.645968
30.766791,11,197.384901
-28.585349,10,197.738682
-39.172748,14,198.085833
